name,seed,stage,evaluation_rms,iteration_rms,mesh_rms,bias_proxy_rms,total_rms,triangle_bound_rms,closure_max,fine_factor,fine_successive_difference_rms,checkpoint_sha256,finite_box_policy_value_error,true_greedy_gap_on_lattice,next_policy_value_error,api_right_hand_side,api_slack,neural_evaluation_mismatch_domain,policy_boundary_bracket_width_domain,neural_vs_bellman_reference_domain,bellman_residual_complete_lattice_max,geometric_strip_factor,computed_lattice_residual_bound,bound_scope
boundary_decay_1d,1,0,0.0038223972352138614,0.3848718548549917,0.001775940598078643,6.746431762740232e-05,0.3850745314630489,0.3905376570059116,1.1102230246251565e-16,1024,1.0733238233013153e-06,0a860fbf67e1bde468d3e52cbeef0087272a52725f8e075d1346ab67a31edc71,0.46854708104508425,0.002576049785655658,0.1868253105237298,0.4648198068704921,0.2779944963467623,0.0169727933646443,0.0,0.47325331609019355,0.5679229176704855,0.010848036468793633,0.6980993552960091,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,1,0.011295602937193875,0.07561706322886788,0.001775940598078643,6.746431762740232e-05,0.07266683881904153,0.0887560710817678,0.0,1024,1.0733238233013153e-06,fdb69e61a9388691eef201c8b0fe0c224f961f7a2dddaa8465e9726a745b32ed,0.1868253105237298,0.5594816994899388,0.09683675705017505,0.7437936650290444,0.6469569079788694,0.0288810420969578,0.0,0.1502167296052751,0.39876245595915893,0.010848036468793633,0.5289388935846825,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,2,0.01288778142633387,0.06085248772106134,0.001775940598078643,6.746431762740232e-05,0.07207519381020672,0.07558367406310125,0.0,1024,1.0733238233013153e-06,13c9fdd9603e64d04f161acc53e8427c47a85c21069f9ac0d45f354fb7e313b1,0.09683675705017505,0.2812095744542997,0.06864103813128242,0.37674359486254416,0.30810255673126175,0.025966411566434755,0.0,0.10389315929279697,0.3083872759253632,0.010848036468793633,0.43856371355088675,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,3,0.003800190695949742,0.03343947512470539,0.001775940598078643,6.746431762740232e-05,0.03214582755694526,0.03908307073636118,0.0,1024,1.0733238233013153e-06,e84f69f7fff7a4e3ee61224323839f1d5fa9f06aaf9b712aa54bde9b7938b66d,0.06864103813128242,0.015418921398620741,0.04175035685823872,0.08313653749226257,0.041386180634023856,0.0061441601287750836,0.0,0.0610214392529089,0.2175158084142199,0.010848036468793633,0.34769224603974347,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,4,0.004089286749655614,0.02495750871839169,0.001775940598078643,6.746431762740232e-05,0.02596024455734929,0.030890200383753348,0.0,1024,1.0733238233013153e-06,85980d21a62978bcf418ef33ea9a03e9ff2288e31c7c55f95fcaf7b00ad607f8,0.04175035685823872,0.009500641932391751,0.031364096203390784,0.050689334797021875,0.01932523859363109,0.0072955014282060915,0.0,0.045037139347432115,0.1863751340181795,0.010848036468793633,0.31655157164370307,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,5,0.0021448011318324933,0.011274311258691598,0.001775940598078643,6.746431762740232e-05,0.011432598032220022,0.015262517306230135,0.0,1024,1.0733238233013153e-06,cc0eb163572753dbefbe286c17888168cc028daabb3f3069457c14d16c7743ec,0.031364096203390784,0.006534889424714141,0.021134981734145714,0.03747704711415796,0.016342065380012247,0.00589931467072613,0.0,0.02479445151598947,0.15880906444658593,0.010848036468793633,0.2889855020721095,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,6,0.0035090706077419392,0.008430211210038919,0.001775940598078643,6.746431762740232e-05,0.011655357143401464,0.013782686733486902,0.0,1024,1.0733238233013153e-06,1ac633f3ac6312c3bcbbd623a5db51d3c7368bc1799b77f7ffe0e363955e8128,0.021134981734145714,0.007888034758579687,0.00862666459190356,0.028738689384194292,0.020112024792290732,0.005522776407566515,0.0,0.02562050765283791,0.15063329442429418,0.010848036468793633,0.28080973204981774,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,1,7,0.0026736094178070173,0.0030086098792927135,0.001775940598078643,6.746431762740232e-05,0.0047146561098068245,0.007525624212805776,0.0,1024,1.0733238233013153e-06,3aa563a4568ead88a154b5fcb8dfa916636a3e798eaf70dca03990c37169f0ce,0.00862666459190356,0.012481655184502321,2.3800990832045787e-05,0.0209922659926583,0.020968465001826253,0.00618961759375572,0.0,0.007862092827445488,0.12447290162011893,0.010848036468793633,0.2546493392456425,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,2,0,0.019100611554121422,0.3848718548549917,0.001775940598078643,6.746431762740232e-05,0.37852635325106415,0.4058158713248191,1.1102230246251565e-16,1024,1.0733238233013153e-06,e66794f773217c7d52ecf2d527777a73c451178bcc2a910115065de4b99a4f1d,0.46854708104508425,0.002576049785655658,0.1868253105237298,0.4648198068704921,0.2779944963467623,0.07214382121423979,0.0,0.46345949422066135,0.5853205803854438,0.010848036468793633,0.7154970180109673,one_lattice_coset_double_precision_not_outward_rounded
boundary_decay_1d,2,1,0.0049749602667469705,0.07561706322886788,0.001775940598078643,6.746431762740232e-05,0.07892952460884484,0.0824354284113209,0.0,1024,1.0733238233013153e-06,ed89f6a74cc0015571f2b15441efc5ba96091a4b508b883a9483d072d5bc8e78,0.1868253105237298,0.32506016719160424,0.08827671422151087,0.5093721327307099,0.42109541850919907,0.011195221310590142,0.0,0.17360046099514564,0.41117662679265876,0.010848036468793633,0.5413530644181823,one_lattice_coset_double_precision_not_outward_rounded
